PM2.5,PM10,NO2,NH3,SO2,CO,OZONE,AQI
364.0,337.0,38.0,20.0,7.0,86.0,10.0,364.0
350.0,141.6742671009772,57.0,8.402852049910873,34.0,156.0,20.0,350.0
441.0,394.0,130.0,19.0,22.0,70.0,23.0,441.0
265.0,223.0,53.0,14.0,13.0,52.0,47.0,265.0
275.0,170.0,40.0,10.0,8.0,51.0,46.0,275.0
335.0,305.0,17.0,11.0,20.0,171.0,20.0,335.0
418.0,141.6742671009772,34.0,18.0,22.0,84.0,7.0,418.0
345.0,230.0,62.0,7.0,15.0,42.0,69.0,345.0
343.0,281.0,90.0,12.0,11.0,80.0,63.0,343.0
355.0,263.0,63.0,11.0,13.0,25.0,32.0,355.0
295.0,194.0,7.0,8.402852049910873,16.427413411938097,66.0,53.0,295.0
363.0,249.0,52.0,21.0,14.0,33.0,66.0,363.0
318.0,267.0,67.0,8.402852049910873,16.427413411938097,8.0,11.0,318.0
345.0,141.6742671009772,34.0,5.0,5.0,48.0,77.0,345.0
182.89870689655172,141.6742671009772,46.5886925795053,8.402852049910873,16.427413411938097,26.0,4.0,306.0
336.0,314.0,67.0,6.0,13.0,36.0,29.813642756680732,336.0
304.0,203.0,52.0,8.402852049910873,16.427413411938097,36.0,20.0,304.0
304.0,141.6742671009772,86.0,10.0,6.0,29.0,29.813642756680732,304.0
308.0,156.0,59.0,3.0,6.0,42.0,45.0,308.0
395.0,336.0,206.0,20.0,16.427413411938097,80.0,3.0,395.0
309.0,207.0,101.0,8.402852049910873,19.0,21.0,51.0,309.0
182.89870689655172,141.6742671009772,46.5886925795053,8.402852049910873,16.427413411938097,66.0,54.0,306.0
312.0,201.0,92.0,13.0,16.0,34.0,11.0,312.0
182.89870689655172,141.6742671009772,46.5886925795053,8.402852049910873,16.427413411938097,51.29509283819629,29.813642756680732,306.0
338.0,238.0,45.0,17.0,14.0,45.0,29.813642756680732,338.0
315.0,141.6742671009772,45.0,8.402852049910873,15.0,38.0,39.0,315.0
182.89870689655172,141.6742671009772,46.5886925795053,8.402852049910873,16.427413411938097,35.0,33.0,306.0
323.0,141.6742671009772,55.0,13.0,16.427413411938097,42.0,84.0,323.0
368.0,266.0,60.0,18.0,14.0,36.0,46.0,368.0
275.0,198.0,42.0,8.402852049910873,16.427413411938097,101.0,13.0,275.0
323.0,228.0,80.0,11.0,20.0,60.0,41.0,323.0
303.0,207.0,30.0,26.0,4.0,32.0,30.0,303.0
306.0,193.0,76.0,10.0,14.0,68.0,21.0,306.0
348.0,268.0,82.0,16.0,13.0,62.0,27.0,348.0
